Model,Price,Year,Hand,Gear,Capacity_engine,Engine_type,Km,Test,Color,Prev_ownership,Curr_ownership,Area,City,Pic_num,Cre_date,Repub_date,Description
סקודה ראפיד (2013),26000.0,2013,3,אוטומטית,"1,400",בנזין,"169,000",11/2024,כחול,פרטית,פרטית,,עראבה,3,29/04/2024,29/04/2024,"Skoda 
דגם : Rapid 
שנת יצור : 2013 
ק״מ : 169000 
נפח מנוע : 1400 
בעלים קודמים : 03 

מערכת מולטמדיה , מצלמת רוורס , חיישני חניה , מתחייב בבדיקה מנוע , גיר , שילדה . 

מספר טלפון לעוד פריטים : 0547513788"
סקודה אוקטביה (2013),21000.0,2013,3,אוטומטית,"1,800",בנזין,"185,000",,כחול כהה,פרטית,פרטית,באר שבע והסביבה,באר שבע,5,04/10/2023,25/04/2024,"רכב סקודה אוקטביה 1800 טורבו , יד 3 , ק""מ 185 אלף , צבע אפור שמור ונקי וטוב,
רכב גדול ויפה, נוח מאוד,
מוכר את רכב עקב קבלת רכב מעבודה.
מחירון 31000.
גמיש ליד רכב"
סקודה רומסטר (2015),24000.0,2015,2,אוטומטית,"1,200",בנזין,"240,000",,לבן,פרטית,פרטית,באר שבע והסביבה,באר שבע,5,06/01/2023,21/04/2024,"סקודה רומסטר 1200 טורבו , יד 2 , ק""מ 240 אלף
רכב מצוין טסט לשנה, מערכת מולטימדיה מתואמת לרכב.
רכב שמור וטוב וחיסכוני מאוד
מוכר עקב מעבר לרכב גדול יותר.
מיחרון 33500.
גמיש ליד רכב"
סקודה פאביה (2012),11500.0,2012,4,ידנית,"1,400",בנזין,"225,000",,אפור,פרטית,פרטית,ירושלים והסביבה,ירושלים,5,12/04/2024,17/04/2024,"רכב חסכוני.
מוביליי.
צמיגים חדשים.
מצבר חדש.
אצלי כבר למעלה מ4 שנים"
סקודה רומסטר (2012),25000.0,2012,4,אוטומטית,"1,200",בנזין,"200,000",10/2024,כסוף מטאלי,פרטית,פרטית,,סח'נין,9,31/03/2024,31/03/2024,"סקודה ייטי 2012 גיר אוטומט 1200 טורבו
יד 04 פרטית 
מולטימדיה חדשה עם מצלמת רוורס וחיישני רוורס 
4 צמיגים חדשים , מצבר חדש וטסט עד 10/24"
סקודה אוקטביה (2015),46000.0,2015,2,אוטומטית,"1,200",בנזין,"115,000",01/2025,שחור,ליסינג,פרטית,פתח תקוה והסביבה,פתח תקווה,2,13/03/2024,13/03/2024,"רכב במצב שמור עם טסט לשנה פלוס צמיגים חדשים.
הרכב אצלי חמש שנים."
סקודה סופרב (2011),20000.0,2011,9,אוטומטית,"1,800",בנזין,"250,000",12/2024,בז' מטאלי,השכרה,פרטית,ירושלים והסביבה,אבו גוש,2,06/03/2024,06/03/2024,מצב מעולה הכול עובד ברכב טסט עד סוף שנה
סקודה אוקטביה (2016),42000.0,2016,4,אוטומטית,"1,400",בנזין,"147,000",,אפור מטאלי,פרטית,פרטית,ירושלים והסביבה,ירושלים,6,09/01/2024,10/01/2024,"רכב אמין וחסכוני עושה מחוץ לעיר 20\1.. שמור מאוד ... אני נאלץ למכור...
מערכת מולטימדיה וכן מערכת מובילאיי .. הרכב עבר כמה ידים במשפחה אני דורש 42000 ש""ח אני גמיש לייד רכב !!! 
כול הקודם זוכה...."
סקודה סופרב (2012),19999.0,2012,4,אוטומטית,"1,800",בנזין,"148,900",,אפור מטאלי,פרטית,פרטית,נתניה והסביבה,נתניה,4,11/12/2023,11/12/2023,"בסד 
רכב יפה מאוד ושמור במצב מצויין, קילומטר נמוך!! מחיר מציאה כל הקודם זוכה!!! גמיש לא בשבת"
סקודה אוקטביה (2015),36000.0,2015,2,אוטומטית,"1,200",בנזין,"286,000",,לבן,ליסינג,פרטית,חדרה וישובי עמק חפר,חדרה,7,18/11/2023,18/11/2023,"סקודה אוקטביה 2015 
רכב שמור ללא תאונות ונזקים
בנזין 
מנוע 1200 
אוטומט 
286,000 ק״מ 
יד 2 
36,000 ש״ח 


גמישש במחיייר !!!!
זמין בפרטי"
סקודה אוקטביה (2013),30000.0,2013,2,אוטומטית,"1,200",בנזין,"160,000",,לבן,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,4,08/11/2023,09/11/2023,"למכירה בהזדמנות (לא מעוניין בהחלפה)
סקודה אוקטביה 2013 דגם אלגנס
יד 2 , נהג 1 בלבד
רכב שמור ומטופל במוסך מורשה
מצבר חדש
ק""מ נמוך לשנתון 160000 ק""מ!!!! שנת 2013 !!! 
מנוע 1200 טורבו !!!
הדגם המוצלח ביותר !!! 
שליטה מההגה !!! 
חיישנים רוורס אחורה, וצדדים - מקורי בדגם הזה !!! 
מראות חשמליות !!! 
באגז' ענקקקקקק !!!!!! 

טסט עד אפריל 2024
מחיר - 30,000 גמיש
לפרטים 
0547248070 אמיר"
סקודה אוקטביה (2012),14000.0,2012,3,אוטומטית,"1,200",בנזין,"279,000",09/2024,חום מטאלי,פרטית,פרטית,,טובא זנגריה,5,30/03/2024,03/04/2024,
סקודה אוקטביה (2014),42000.0,2014,3,אוטומטית,"1,200",בנזין,"186,000",,שחור,פרטית,פרטית,ירושלים והסביבה,ביתר עילית,4,27/08/2023,27/08/2023,סקודה אוקטביה 1200 חסכוני שמור מאוד נהג יחיד רכב מטופל בזמן מצב מצוין 186000 קילומטר
סקודה אוקטביה (2015),40000.0,2015,1,אוטומטית,"1,600",דיזל,220,,אפור מטאלי,פרטית,פרטית,באר שבע והסביבה,באר שבע,5,28/03/2024,27/03/2024,רכב פרטי לא צריך לשלם שקל אחד על הרכב מצאב חדש
סקודה אוקטביה RS (2015),111111.0,2015,3,אוטומטית,"2,000",בנזין,"170,000",01/2025,כסוף,פרטית,פרטית,באר שבע והסביבה,באר שבע,1,19/03/2024,19/03/2024,רכב שמור
סקודה אוקטביה (2013),27000.0,2013,2,אוטומטית,"1,200",בנזין,"165,000",,שחור,פרטית,פרטית,יישובי השומרון,עלי זהב,3,11/06/2023,11/06/2023,"רכב שמור מאוד, קילומטרא'ז נמוך, נהג יחיד, טסט לשנה לאחר טיפול שנתי, מחיר מציאה! ניתן לראות את הרכב במרכז או בעלי זהב- לשם"
סקודה ראפיד ספייסבק (2016),47000.0,2016,1,אוטומטית,"1,200",בנזין,"99,000",,בורדו,פרטית,פרטית,טבריה והסביבה,מגאר,5,01/06/2023,01/06/2023,"רכב מציאה שמור בקפדנות חסכוני מאוד בדלק וזריז שמוררר מאוד 
יש שפשוף קטן בטמבון אחורי צד שמאל 
גמיש במעמד המכירה 
הרכב מגיע עם מצלמת ריוורס ומצלמת דרך 
מולטמדיה, 4 צמיגים חדשים, טסט עד סוף אוגוסט"
סקודה אוקטביה (2016),67000.0,2016,3,אוטומטית,"1,200",בנזין,"170,000",11/2024,לבן פנינה,פרטית,פרטית,ירושלים והסביבה,ירושלים,4,22/05/2023,21/05/2023,"תמיכה 3
 ק""מ 173000
 מנוע 1200
 110 כ""ס
 אורות VRS
 צבע מלא לרכב
 ספוילרים
 מנורות קסנון וליד בכל הרכב
 הרכב במצב מצויין אין בו שום דבר חדש, רפידות בלמים חדשות, תופים חדשים ומשאבת שמן חדשה הגה תפור"
סקודה אוקטביה (2013),30000.0,2013,3,אוטומטית,"1,800",בנזין,"30,000",,אפור,פרטית,פרטית,באר שבע והסביבה,אופקים,3,05/05/2023,05/05/2023,סקודה אוקטביה 2013 מנוע 1800 שמורה לא עשתה הרבה קילומטר מוכר מתחת למחירון
סקודה אוקטביה (2015),49000.0,2015,3,אוטומטית,"1,200",בנזין,"160,000",,זהב מטאלי,ליסינג,פרטית,גליל ועמקים,נצרת,8,02/05/2023,02/05/2023,"רכב במצב שמור מאוד אחרי טיפול , מצב מכני מעולה , טסט שנה , דגם מוצלח וחסכוני בדלק לעוד פרטים נא להתקשר"
סקודה סופרב (2016),110000.0,2016,2,אוטומטית,"2,000",בנזין,"148,000",,שחור,פרטית,פרטית,כרמיאל והסביבה,כרמיאל,1,25/04/2023,25/04/2023,רכב חדש בלי תאונות מטופל בזמן
סקודה אוקטביה ספייס (2015),42000.0,2015,2,אוטומטית,"1,200",בנזין,"217,000",,שמפניה,ליסינג,פרטית,פתח תקוה והסביבה,פתח תקווה,6,08/04/2023,17/04/2023,"רכב שמור ומטופל, מצבר חדש עדיין באחריות
טסט לשנה, 4 צמיגים חדשים 
*צבע שמפניה
לא בשבת."
סקודה אוקטביה (2013),35000.0,2013,3,אוטומטית,"1,800",בנזין,"160,000",,אפור מטאלי,פרטית,פרטית,באר שבע והסביבה,אופקים,3,09/04/2023,09/04/2023,"בס?ד סקודה אוקטביה 2013 מנוע 1.8T במצב טוב מאוד שמור לא עשה הרבה קילומטר יחסית לשנתון עד שנת 2016 היה מטופל בחברה ולאחר מכן מטופל במוסך פרטי כל 10000 טיפול כל החלקים ברכב מקוריים /גרמניים , האוטו עבר ב155000 קילומטר טיפול גדול של כל השמנים ו הפילטרים , ששרשרת טיימינג , ברקסים עם צלחות קדימה , טסט לשנה לא עבר תאונות מתחייב מנוע גיר שלדה."
סקודה פאביה (2003),7500.0,2003,5,ידנית,"1,400",בנזין,"183,000",,אפור,פרטית,פרטית,ירושלים והסביבה,קרית ארבע,6,14/03/2023,14/03/2023,"רכב סקודה פאביה 2003 במצב מצויין.
רק 183 אלף קילומטר ,טסט עד 9/23.
ידני ,קלאץ חדש. יש בולמים חדשים, וטיפול עשר אלף שנעשה ממש לאחרונה. חוץ מזה אין שום תקלה ברוך ה ברכב , הוא נוסע חלק.
בנוסף יש מערכת gbl שחזקה שמחוברת לרמקולים של האוטו.

דורש 7500 .
גמיש לרציניים בלבד!!"
סקודה ראפיד ספייסבק (2016),48000.0,2016,1,אוטומטית,"1,200",בנזין,"90,000",,בורדו,פרטית,פרטית,כרמיאל והסביבה,כרמיאל,1,08/03/2023,08/03/2023,"סקודה ספייסבק 1.2 טורבו 
רכב חסכוני וזריז 
מתחייב בבדיקה מלאה"
סקודה אוקטביה (2014),45000.0,2014,2,אוטומטית,"1,800",בנזין,"150,000",10/2024,בז' מטאלי,פרטית,פרטית,חולון - בת ים,חולון,6,22/02/2023,22/02/2023,"סקודה אוקטביה מנוע 1800 טורבו
מצב חדש לגמרי מציאה"
סקודה סופרב (2015),50000.0,2015,4,אוטומטית,"1,800",בנזין,"170,000",,אפור מטאלי,פרטית,פרטית,חולון - בת ים,בת ים,3,16/01/2023,25/01/2023,"סקודה סופרב 2015
הרכב אחרי פוליש ודיטיילינג מלא
רמת גימור אלגנס המפואר
כיסאות חשמליים מעור עם זכרונות בשניים הקדמיים
מסך בקרת אקלים למושבים האחוריים
פנסי לד קדימה אחורה עם קסנון לבנים
בקרת שיוט
ווילונות אחוריים
רכב חזק מאוד מטופל ושמור! 
170 קמ
טסט 18-02-2023"
סקודה אוקטביה (2016),57.0,2016,2,אוטומטית,"1,200",בנזין,140,,אפור עכבר,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,3,28/11/2022,24/01/2023,"מציאה רכב מצוין חסכוני ואמין ,0 תקלות מטופל בחברה בלבד, מוכר בעקבות מעבר לחול גמיש מעט לרציניים 140 אלף ק""מ. זמין בוואצפ(0502991777) עובד בחול"
סקודה אוקטביה (2014),42000.0,2014,3,אוטומטית,"1,200",בנזין,"165,000",,חום,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,5,18/01/2023,18/01/2023,רכב במצב מצויין מחיר מציאה כל הקודם זוכה
סקודה ראפיד (2013),23500.0,2013,5,רובוטית,"1,400",בנזין,"193,000",,כסוף מטאלי,פרטית,פרטית,נתניה והסביבה,נתניה,6,11/12/2022,28/12/2022,"🔥סקודה ראפיד 2013🔥

💨מנוע 1.4 Turbo (Tsi) 💨

🐎 122 כ״ס🐎

🕹️גיר רובוטי dsg🕹️

⚡️ 193,000 ק״מ
עבר טיפול ב189,000 ק״מ⚡️

📱מסך מולטימדיה📱

📷מצלמת רוורס📷

❄️מזגן מקפיא❄️

🧊הרכב אחרי פוליש ווקס🧊

🔋הוחלף מצבר לפני חודשיים🔋

🛞הוחלף 4 צמיגים + כיוון פרונט לפני חודש וחצי🛞

הרכב שמור ומטופל בזמן
מחיר חטיפה!!"
סקודה אוקטביה (2015),45.0,2015,1,אוטומטית,"1,600",דיזל,219,08/2024,כסף מטלי,פרטית,פרטית,באר שבע והסביבה,באר שבע,5,28/01/2024,28/01/2024,"רכב פרטי מומלץ מאוד 
קיימ נמוך 
מתחייב על כול בורג"
סקודה אוקטביה (2016),66000.0,2016,3,אוטומטית,"1,400",בנזין,"153,000",,לבן,פרטית,פרטית,רמלה - לוד,רמלה,5,21/12/2022,21/12/2022,"סקודה אוקטביה 2016 מנוע 1.4 טורבו הדגם המוצלח ‏חסכוני וחזק , טיפול לפני חודש צמיגים ‏חדשים ‏צלחות ‏ ‏ ‏מחוזקות ‏הברקסים מחוזקים"
סקודה אוקטביה (2016),59300.0,2016,2,אוטומטית,"1,200",בנזין,"155,000",,אפור,פרטית,פרטית,גליל ועמקים,נצרת,1,19/11/2022,18/11/2022,רכב שמור ו יפה
סקודה אוקטביה (2013),50000.0,2013,1,אוטומטית,"1,400",בנזין,"168,000",,,,,רעננה - כפר סבא,רעננה,1,01/11/2022,01/11/2022,"בובה של רכב. שמור, מטופל במוסך סקודה. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; וו גרירה"
סקודה ראפיד (2015),40000.0,2015,2,אוטומטית,"1,400",בנזין,"140,000",,,,,חולון - בת ים,חולון,1,31/10/2022,31/10/2022,"שמורה ללא תאונות
טסט לשנה"
סקודה ראפיד (2013),27000.0,2013,2,אוטומטית,"1,400",בנזין,"220,000",,,,,באר שבע והסביבה,אופקים,1,30/10/2022,30/10/2022,"סקודה רפיד 1400 טורבו
טסט 3/23
צבע לבן"
"סקודה פאביה
 (2011)",23500.0,2011,3,ידנית,"1,400",בנזין,"139,800",,,,,ראש העין והסביבה,ראש העין,1,28/10/2022,28/10/2022,"רכב שמור מאוד, עבר טיפול גדול לפני כחודשיים
 
יש ספר טיפולים ורישיונות רכב של שנים אחורה 
להוכחת מספר הקילומטר, 

לא תאמינו עד כמה הוא חסכוני בדלק 

גיר ידני 

במידה ואין מענה, ניתן להשאיר הודעה ! 
בהצלחהההה"
סקודה אוקטביה (2015),58000.0,2015,3,אוטומטית,"1,400",בנזין,158,,,,,אשדוד - אשקלון,אשדוד,1,24/10/2022,24/10/2022,
סקודה סופרב (2013),36000.0,2013,3,אוטומטית,"2,000",בנזין,222,,,,,ירושלים והסביבה,ירושלים,1,24/10/2022,24/10/2022,"רכב נמצא במצב טוב,ושמרני מאוד"
סקודה סופרב (2013),33000.0,2013,3,אוטומטית,"1,800",בנזין,"180,000",,,,,חולון - בת ים,בת ים,1,24/10/2022,24/10/2022,דגם ambition מצב מכני מעולה מצלמת רווס מערכת מולטמדיה android 10 עם תיאום לרכב + שליטה מלאה בהגה מראות מתקפלות .לעוד פרטים.גמיש
"סקודה פאביה
 (2016)",45000.0,2016,1,אוטומטית,"1,200",בנזין,"124,000",,,,,,מרר,1,24/10/2022,24/10/2022,רכב שמור מאוד חסכוני בדלק צמיגים חדשים לפני יומיים טסט עד פברואר
סקודה אוקטביה (2012),20000.0,2012,2,אוטומטית,"1,800",בנזין,"230,000",,,,,,Tzur Natan,1,21/10/2022,21/10/2022,"רכב בנזין טורבו 1800 הדגם המפואר elegance, חזק מאוד ואמין
ללא תאונות"
סקודה אוקטביה (2015),111000.0,2015,6,אוטומטית,"2,000",בנזין,"119,000",,,,,גליל ועמקים,ריינה,1,16/10/2022,16/10/2022,"אוקטביה Vrs
רכה חדש מטופל בזמן ללא שיפורים (סטוק)
נקי מאוד מתחייב על הכל"
סקודה ייטי (2011),33000.0,2011,3,אוטומטית,"1,200",בנזין,"223,000",,,,,טבריה והסביבה,טבריה,1,16/10/2022,16/10/2022,"רכב מטופל בזמן,דמור מאוד לשנתון פנים וחוץ.
מומלץ וחסכוני. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מוביליי,מולטימדיה,חיישני ומצלמת רוורס."
סקודה אוקטביה (2013),51500.0,2013,2,טיפטרוניק,"1,400",בנזין,"186,000",,,,,נתניה והסביבה,נתניה,1,14/10/2022,14/10/2022,"רכב שמור מאוד ,ללא תאונות ,מטופל בזמן ,כולל מערכת מולטימדיה חדשה ומשודרגת &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטימדיה חדשה"
"סקודה פאביה
 (2015)",47000.0,2015,2,אוטומטית,"1,200",בנזין,"146,000",,,,,מושבים בשפלה,קדרון,1,12/10/2022,12/10/2022,רכב גרמני שמור במצב מצויין
סקודה אוקטביה (2016),53000.0,2016,2,אוטומטית,"1,200",בנזין,"215,000",,,,,גליל ועמקים,כפר תבור,1,09/10/2022,09/10/2022,"מכונית שמורה במצב מצויין 
ומטופלת כנדרש"
סקודה סופרב (2013),30000.0,2013,2,אוטומטית,"1,800",בנזין,"165,000",,,,,פרדס חנה - כרכור,פרדס חנה כרכור,1,08/10/2022,08/10/2022,"הרכב תמיד מטופל 
יש היסטורית טיפולים מהחברה ! 
רכב היה בבעלות אחת 8 שנים עי נוסעת אחת !
צמיגים חדשים בחתך נמוך 
גאנטים יפים מאד 
מערכת אנדרואיד 
מצלמת רוורס 
הרכב הכי חתיך באחריות 
מתחייב בבדיקה על כל הרכב !"
סקודה אוקטביה (2015),,2015,1,אוטומטית,"1,200",בנזין,"119,000",,,,,כרמיאל והסביבה,כרמיאל,1,08/10/2022,08/10/2022,רכב שמור כחדש ללא תאונות עם גג נפתח elegance &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג נפתח חישוקי מגניזיום חישני ריוורס וגם קדמיים
סקודה אוקטביה (2010),24000.0,2010,2,אוטומטית,"1,197",בנזין,"108,000",,,,,ירושלים והסביבה,ירושלים,1,08/10/2022,08/10/2022,"ידיים פרטיות ,108000 קמ , טסט עד 6/23
מולטימדיה, 4 צמיגים חדשים קונטיננטל
אחרי טיפול, עבר תאונה מאחור לפני 10 שנים שתוקנה"
"סקודה פאביה
 (2016)",55000.0,2016,2,אוטומטית,"1,197",בנזין,"112,000",,,,,,שריד,1,07/10/2022,07/10/2022,"רכב כמו חדש , שמור ללא עבר תאונות
מצלמת רוורס , 110 כס , כפתור התנעה"
סקודה אוקטביה (2016),,2016,2,אוטומטית,"1,400",בנזין,"214,000",,,,,,רהט,1,07/10/2022,07/10/2022,"סקודה אוקטביה שנת 2016, הדגם המוצלח נפח 1400 עם 150 כ״ס, רכב במצב נהדר, שמור מאוד, חזק וחסכוני, ללא תאונות, נהג יחיד, טסט עד 03/2023, הרכב עבר טיפול לפני כמה ימים, גאנטים מגנזיום. מתחייב בבדיקה מנוע, גיר ושלדה. גמיש לרציניים."
סקודה ייטי (2012),28000.0,2012,2,רובוטית,"1,200",בנזין,"191,000",,,,,,החותרים,1,06/10/2022,06/10/2022,"רכב מטופל מאד מצב מכני מעולה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מולטימדיה, מצלמת רוורס, חיישנים מזגן מאחור, 2 צמיגים חדשים..."
סקודה אוקטביה (2011),26000.0,2011,2,אוטומטית,"1,200",בנזין,"165,000",,תכלת,ליסינג,פרטית,רמת גן - גבעתיים,בני ברק,3,27/09/2022,27/09/2022,סקודה אוקטביה שנת 2011 מנוע 1.2 טורבו בנזין גמיש
סקודה סופרב (2012),,2012,5,אוטומטית,"1,800",בנזין,182,,,,,קיסריה והסביבה,בית חנניה,1,26/09/2022,26/09/2022,הכל חדש
סקודה אוקטביה (2014),44000.0,2014,3,טיפטרוניק,"1,400",בנזין,"20,000",,שחור,פרטית,פרטית,,עראבה,3,24/09/2022,24/09/2022,"מנוע 1400 הדגם המוצלח 
ללא בעיות 
ואטסאב שאין קליטה 0522968772
נוסע מציין
באמת רכב נקי"
"סקודה פאביה
 (2016)",69000.0,2016,1,אוטומטית,"1,200",בנזין,"50,000",,,,,קריות,קרית מוצקין,1,17/09/2022,17/09/2022,"רכב במצב חדש נהג יחיד שמור ומטופל במוסך מורשה
כל הקודם זוכה"
סקודה רומסטר (2014),23000.0,2014,3,אוטומטית,"1,200",בנזין,"220,000",,אפור מטאלי,פרטית,פרטית,נתניה והסביבה,נתניה,8,12/09/2022,12/09/2022,"סקודה רומסטאר דגם מנוע 1.2 חסכוני מאוד בדלק ללא תקלות ללא תאונות , הרכב שמור עם חיישני רוורס . טסט עד סוף 2022"
סקודה ראפיד (2015),25000.0,2015,3,ידנית,"1,600",דיזל,330,,לבן,מונית,פרטית,באר שבע והסביבה,באר שבע,7,10/09/2022,10/09/2022,רכב שמור
סקודה סופרב (2016),95000.0,2016,2,טיפטרוניק,"2,000",בנזין,"140,000",,,,,,כפר כנא,1,08/09/2022,08/09/2022,נקי מטופל ושמור
"סקודה פאביה
 (2014)",33000.0,2014,2,ידנית,"1,400",בנזין,"75,000",,,,,בית שמש והסביבה,בית שמש,1,07/09/2022,07/09/2022,רכב במצב טוב מאוד.נראה טוב.קמ נמוך.טסט לשנה.פאביה בגימור אמבישן
סקודה ראפיד (2014),30000.0,2014,1,אוטומטית,"1,400",בנזין,,,,,,,כפר מנדא,1,30/08/2022,30/08/2022,רכב נקי גיר שילדה מנוע במצב מעולה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; וו גרירה
סקודה אוקטביה (2011),26000.0,2011,3,אוטומטית,"1,200",בנזין,"155,000",,שחור,פרטית,פרטית,ירושלים והסביבה,ירושלים,5,29/08/2022,29/08/2022,
סקודה אוקטביה (2011),34000.0,2011,3,אוטומטית,"1,400",בנזין,"119,000",,אפור עכבר,פרטית,פרטית,ירושלים והסביבה,ירושלים,5,29/08/2022,29/08/2022,"הדגם הכי מפואר בשנתון
והכי אמין.
1.4 טורבו אלגנס.
לאחר טיפול 15000
4 צמיגים חדשים
טסט ארוך
קמ’’ נמות מאוד
טופל במורשה בלבד
רכב מקורי נוסע כמו חדש"
סקודה אוקטביה (2015),60000.0,2015,2,אוטומטית,"1,400",בנזין,"151,000",,,,,,כפר עגר,1,26/08/2022,26/08/2022,ללא תאונות אוטו שמור סוג מפואר אלגאנס Elegance מנוע 1400 טורבו חזק מאוד וזריז וחסכוני הדגם המוצלח ביותר .מולטמיגיה תואם מקור
"סקודה רומסטר
 (2014)",29000.0,2014,3,אוטומטית,"1,197",בנזין,"23,000",,,,,ירושלים והסביבה,מבשרת ציון,1,25/08/2022,25/08/2022,
סקודה אוקטביה (2008),14000.0,2008,2,אוטומטית,"1,600",בנזין,"195,000",,אפור מטאלי,פרטית,פרטית,,ג'וליס,1,25/08/2022,25/08/2022,"אוטו מטופל בזמן מוכר עקב קבלת רכב 
לעוד פרטים נא להתקשר"
סקודה אוקטביה (2014),48000.0,2014,2,אוטומטית,"1,200",בנזין,"130,000",,,,,רעננה - כפר סבא,כפר סבא,1,25/08/2022,25/08/2022,סקודה אוקטביה שמורה עם מעט קילומטרים שימשה כרכב שני במשפחה. רכב משפחתי מרווח מאוד עם פגש ענקי. ללא תאונות ועם מערכת מובילאיי ו 7 כריות אויר
סקודה ראפיד (2015),40000.0,2015,2,אוטומטית,"1,395",בנזין,"144,000",,,,,כרמיאל והסביבה,כרמיאל,1,24/08/2022,24/08/2022,רכב שמור &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטימדיה
"סקודה אוקטביה ספייס
 (2016)",62000.0,2016,2,אוטומטית,"1,197",בנזין,"93,500",,,,,,"פ""ת",1,23/08/2022,23/08/2022,"רכב שמור, טסט לשנה, חסכוני מאד בדלק, מטופל בסקודה, ללא תעונות נמכר לרגל נסיעה לחו""ל. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; + מערכת התראה מסטיה וקרבה"
סקודה סופרב (2013),37000.0,2013,2,אוטומטית,"1,800",בנזין,"159,000",,,,,פרדס חנה - כרכור,פרדס חנה כרכור,1,22/08/2022,22/08/2022,"רכב חתיך !! 
מטופל תמיד בחברה יש לכך מסמכים 

הכל חדש באחריות !!"
"סקודה רומסטר
 (2014)",23000.0,2014,1,אוטומטית,"1,200",בנזין,"202,000",,,,,באר שבע והסביבה,באר שבע,1,22/08/2022,22/08/2022,רכב מטופל ושמור כל הקודם זוכה
סקודה ראפיד (2015),45000.0,2015,2,אוטומטית,"1,400",בנזין,"140,000",,,,,חולון - בת ים,חולון,1,18/08/2022,18/08/2022,"רכב שמור, מצב מצוין נמכר עקב רכב מהעבודה"
